what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui",1413634312000
started,bundle,org.eclipse.ui.console,3.5.100.v20110511,"org.eclipse.ui.console",1413634312012
started,bundle,org.eclipse.ui.editors,3.7.0.v20110517-0800,"org.eclipse.ui.editors",1413634312023
started,bundle,org.eclipse.ui.forms,3.5.100.v20110425,"org.eclipse.ui.forms",1413634312034
started,bundle,org.eclipse.ui.ide,3.7.0.I20110519-0100,"org.eclipse.ui.ide",1413634312047
started,bundle,org.eclipse.ui.intro,3.4.100.v20110425,"org.eclipse.ui.intro",1413634312151
started,bundle,org.eclipse.ui.intro.universal,3.2.500.v20110510,"org.eclipse.ui.intro.universal",1413634312151
started,bundle,org.eclipse.ui.net,1.2.100.I20110511-0800,"org.eclipse.ui.net",1413634312159
started,bundle,org.eclipse.ui.views,3.6.0.I20110412-0800,"org.eclipse.ui.views",1413634312174
started,bundle,org.eclipse.ui.views.log,1.0.200.v20110404,"org.eclipse.ui.views.log",1413634313186
started,bundle,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"org.eclipse.ui.workbench",1413634313310
started,bundle,org.eclipse.ui.workbench.texteditor,3.7.0.v20110505-0800,"org.eclipse.ui.workbench.texteditor",1413634313421
started,bundle,org.eclipse.update.configurator,3.3.100.v20100512,"org.eclipse.update.configurator",1413634313434
started,bundle,org.eclipse.update.core,3.2.500.v20110330,"org.eclipse.update.core",1413634313611
started,bundle,org.eclipse.update.scheduler,3.2.300.v20100512,"org.eclipse.update.scheduler",1413634313634
started,bundle,org.eclipse.wst.sse.core,1.1.600.v201105162116,"org.eclipse.wst.sse.core",1413634313688
started,bundle,com.android.ide.eclipse.adt,14.0.0.v201110171935-205994,"com.android.ide.eclipse.adt",1413634313688
started,bundle,com.android.ide.eclipse.ddms,14.0.0.v201110171935-205994,"com.android.ide.eclipse.ddms",1413634313688
started,bundle,com.android.ide.eclipse.traceview,14.0.0.v201110171935-205994,"com.android.ide.eclipse.traceview",1413634313688
os,sysinfo,,,"win32",1413634313692
arch,sysinfo,,,"x86_64",1413634313692
ws,sysinfo,,,"win32",1413634313692
locale,sysinfo,,,"en_US",1413634313692
processors,sysinfo,,,"4",1413634313692
java.runtime.name,sysinfo,,,"Java(TM) SE Runtime Environment",1413634313692
java.runtime.version,sysinfo,,,"1.7.0_11-b21",1413634313692
java.specification.name,sysinfo,,,"Java Platform API Specification",1413634313692
java.specification.vendor,sysinfo,,,"Oracle Corporation",1413634313692
java.specification.version,sysinfo,,,"1.7",1413634313692
java.vendor,sysinfo,,,"Oracle Corporation",1413634313692
java.version,sysinfo,,,"1.7.0_11",1413634313692
java.vm.info,sysinfo,,,"mixed mode",1413634313692
java.vm.name,sysinfo,,,"Java HotSpot(TM) 64-Bit Server VM",1413634313692
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1413634313692
java.vm.specification.vendor,sysinfo,,,"Oracle Corporation",1413634313692
java.vm.specification.version,sysinfo,,,"1.7",1413634313692
java.vm.vendor,sysinfo,,,"Oracle Corporation",1413634313692
java.vm.version,sysinfo,,,"23.6-b04",1413634313692
started,bundle,org.eclipse.jsch.core,1.1.300.I20110514-0800,"org.eclipse.jsch.core",1413634314607
started,bundle,org.eclipse.team.cvs.core,3.3.400.I20110510-0800,"org.eclipse.team.cvs.core",1413634314625
started,bundle,org.eclipse.team.ui,3.6.100.I20110525-0800,"org.eclipse.team.ui",1413634314763
started,bundle,org.eclipse.team.cvs.ui,3.3.400.I20110510-0800,"org.eclipse.team.cvs.ui",1413634314887
opened,view,org.eclipse.ui.ide,3.7.0.I20110519-0100,"org.eclipse.ui.views.ProblemView",1413634315024
activated,view,org.eclipse.jdt.ui,3.7.0.v20110531-1200,"org.eclipse.jdt.ui.PackageExplorer",1413634315074
started,bundle,org.eclipse.ltk.core.refactoring,3.5.200.v20110505-0800,"org.eclipse.ltk.core.refactoring",1413634315924
started,bundle,org.eclipse.ltk.ui.refactoring,3.6.0.v20110505-0800,"org.eclipse.ltk.ui.refactoring",1413634316811
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1413634326823
started,bundle,org.eclipse.debug.core,3.7.0.v20110518,"org.eclipse.debug.core",1413634335108
started,bundle,org.eclipse.jdt.launching,3.6.0.v20110509,"org.eclipse.jdt.launching",1413634335125
started,bundle,org.eclipse.jgit,1.0.0.201106090707-r,"org.eclipse.jgit",1413634350120
started,bundle,org.eclipse.egit.core,1.0.0.201106090707-r,"org.eclipse.egit.core",1413634350893
started,bundle,org.eclipse.egit.ui,1.0.0.201106090707-r,"org.eclipse.egit.ui",1413634351283
started,bundle,org.eclipse.jdt.apt.core,3.3.500.v20110420-1015,"org.eclipse.jdt.apt.core",1413634462191
started,bundle,org.eclipse.jdt.apt.pluggable.core,1.0.400.v20110305-1450,"org.eclipse.jdt.apt.pluggable.core",1413634462222
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1413634465064
opened,view,org.eclipse.mylyn.tasks.ui,3.6.0.v20110608-1400,"org.eclipse.mylyn.tasks.ui.views.tasks",1413634465557
activated,perspective,org.eclipse.jdt.ui,3.7.0.v20110531-1200,"org.eclipse.jdt.ui.JavaPerspective",1413634465583
activated,view,org.eclipse.jdt.ui,3.7.0.v20110531-1200,"org.eclipse.jdt.ui.PackageExplorer",1413634465606
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1413634472356
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1413634486582
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1413634487932
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1413634524748
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1413634524799
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1413634527813
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1413634528896
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1413634529047
started,bundle,org.eclipse.compare.core,3.5.200.I20110208-0800,"org.eclipse.compare.core",1413634536181
started,bundle,org.eclipse.compare,3.5.200.I20110525-0800,"org.eclipse.compare",1413634536206
started,bundle,org.eclipse.debug.ui,3.7.0.v20110518,"org.eclipse.debug.ui",1413634539486
started,bundle,org.eclipse.jdt.debug,3.7.0.v20110509,"org.eclipse.jdt.debug",1413634541261
started,bundle,org.eclipse.jdt.debug.ui,3.6.0.v20110512,"org.eclipse.jdt.debug.ui",1413634541414
